emotion,definition
Anger,"A strong feeling of annoyance, displeasure, or hostility."
Disgust,A strong feeling of dislike or disapproval for something unpleasant or offensive.
Fear,"An unpleasant emotion caused by the threat of danger, pain, or harm."
Joy,A feeling of great pleasure and happiness.
Sadness,The condition or quality of being sad; sorrow; a feeling of unhappiness or grief.
Surprise,A feeling of mild astonishment or shock caused by something unexpected.
Neutral,Not displaying any strong emotion or feeling; a lack of emotional expression.
